Cleaned_Dialogue,Positive/Negative,Song Recommendations
that’s right ladies want stay joey’s,Positive,Alors on danse - Radio Edit
wow actually handbook can’t date hotplate office can’t believe stop seeing,Positive,New Rules
it’s worth appreciate standing itfelt really nice kinda made like even,Positive,"Circle of Life (From ""The Lion King"") - From ""The Lion King"" Soundtrack"
hearing describe forbidden it’s really hot,Positive,Play with Fire (feat. Yacht Money)
let’s also get hot plate,Positive,Thunder
okay you’re done tea i’ll look yourleaves tell fortune,Positive,C'mon - Single Version
oh yeah i’ve done years actually stopped wasso accurate y’know andand y’know one great joys life isit’sit’s wondrous unpredictability y’know also tea tends give methe trots,Positive,Hey Look Ma
okay i’m done read mine,Positive,New Rules
okay i’m done mine,Positive,In Waves
well spending lot time lab,Positive,Calm Down
well i’m sure get another one,Positive,Astronaut In The Ocean
that’s favorite shirt okay love shirt,Positive,Señorita
honey bruce springsteen cd kat stevens case,Positive,Toxicity
okay kat stevens cd,Positive,Painkiller
oh yeah makes sense,Positive,Lose Yourself
oh it’s see everywhere i’m jim jim nelson,Positive,Hall of Fame (feat. will.i.am)
oh jim jim nelson i’m phoebe phoebe buffay certainly havebeen seeing lot lately,Positive,C'mon - Single Version
maybe we’ll seeing dinner tomorrow nightsay around 8 o’clock,Positive,The Ballad of Mona Lisa
oh perfect mean really felt like friend,Positive,Alors on danse - Radio Edit
oh that’s important point really—i thinkeverything’s gonna okay,Positive,It's My Life
oh witty banter well done,Positive,Often
oh okay well i’m masseuse used work thisplace…,Positive,Baby Blue - Remastered 2010
iii like like parties,Positive,Orinoco Flow
you’re wild aren’t ya,Positive,Rock You Like A Hurricane
write erotic novels children,Positive,Toxicity
hey oh joey honey listen thank talking yesterday aboutthat thing boss really meant lot,Positive,Party Monster
let’s say took care,Positive,Young Dumb & Broke
don’t worry don’t worry told nicelyyou don’t go buying people’s babies,Positive,B.Y.O.B.
touching makes anyone less uncomfortable,Positive,All We Know
okay look mr zelner…,Positive,Royals
oh think it’s best speak first,Positive,Royals
don’t worry phoebe you’re gonna meet someone meet agreat guy,Positive,Whatever It Takes
kidding get stains okay like,Positive,B.Y.O.B.
i’m sorry it’s you’re incredibly beautiful,Positive,Really Love (feat. Craig David & Digital Farm Animals)
would like go cup coffee,Positive,Alors on danse - Radio Edit
iii’d love let tell friend,Positive,Toothbrush
chandler give us minute,Positive,Astronaut In The Ocean
hey you’re right yeah it’s kinda like us littlebit,Positive,Roots
that’s right get system we’re alone,Positive,Animals
oh wanted ross know first i’m relieved guysknow,Positive,Safe To Say
great i’m gonna baby’s aunt,Positive,Señorita
yeah i’m one related blood,Positive,Skyfall
okay great guys know help give someadvice i’m gonna tell ross,Positive,The Ballad of Mona Lisa
well gonna tell i’mi’m gonna baby andhe involved wants,Positive,Body (Remix) [feat. ArrDee
oh romantic send people honeymoon,Positive,Señorita
oh well guess i’ll catch later,Positive,Strawberry Swing
well really wanted talk,Positive,Blinding Lights
yeah seemed pretty important,Positive,Not Afraid
wow thought would little shocked,Positive,Toxicity
they’re kissing let’s go around,Positive,All We Know
oh honey leave alone they’re love,Positive,Location
i’m love orderly fashion,Positive,Señorita
congratulations okay mr bing you’ll 25j mrsbing you’ll 25k,Positive,Buni
oh see we’re honeymoon umm yourlittle thing bump us first class,Positive,Enemy (with JID) - from the series Arcane League of Legends
course i’m gonna give back soon asthey’re done key shining place,Positive,Smooth Criminal - 2012 Remaster
whoa whoa whoa treeger,Positive,Chop Suey!
look look they’re going first classlounge know,Positive,Trndsttr
uh sir may see tickets please,Positive,Astronaut In The Ocean
oh that’s right memorized it’s 1a,Positive,Often
okay okay y’know want one timei mean i’di’d okay fact time right,Positive,I Made It
i’m good i’m good,Positive,Not Afraid
oh well may well,Positive,Wait and Bleed
freaked hey i’m freaked i’m,Positive,Heaven and Hell - 2008 Remaster
y’know let’s let’s talk later,Positive,Don't Panic
could tell jasmine wont make yoga class today,Positive,Calm Down
wedding gift hotel would like give thehoneymoon suite,Positive,Symphony (feat. Zara Larsson)
we’re ten seconds later,Positive,In Waves
yeah we’d go check took away keys,Positive,Rolling in the Deep
uhuhuh right i’ve kinda got el fresco situationgoing,Positive,Bleed
okay ross that’s fine please stand near head,Positive,New Rules
okay head ross head ross head ross,Positive,The Ballad of Mona Lisa
right right just—i want know i’m going bethere whole thing okay okay doctor’s appointments uh thelamaze classes uh babyproofing apartment—although could probably worry aboutthat ‘til get married,Positive,Symphony (feat. Zara Larsson)
well yeah think get married,Positive,Señorita
yeah maybe you’re love ross love arewe,Positive,Bleed
i’m saying can’t eat expectto baby,Positive,Bleed
oh please inhale food,Positive,Toxicity
oh dr long please come ross father,Positive,Whatever It Takes
huh nice meet i’ll get started,Positive,Lose Yourself
congratulations i’ll give two minute,Positive,Free Bird - Edit
oh oh it’s beautiful see,Positive,Savage Love (Laxed - Siren Beat)
that’s well saw ohhohhoh thank,Positive,Rock You Like A Hurricane
wow can’t believe that’s baby,Positive,Sweet Child O' Mine
oh everything went great,Positive,Pumped Up Kicks
oh god guys get married,Positive,goosebumps
phoebe come tell us,Positive,Astronaut In The Ocean
okay okay it’s james brolin james brolin father mybaby,Positive,Sweet Child O' Mine
barbara streisand’s husband james brolin,Positive,Immigrant Song - Remaster
don’t monica step away we’ll getchandler bridemaids,Positive,I Made It
y’know groom right told kinda big deal,Positive,Enemy (with JID) - from the series Arcane League of Legends
oh thank can’t deal justquite yet,Positive,Free Bird - Edit
thank much ladies gentlemen gives greatpleasure introduce first time mr mrs chandler bing,Positive,Snow (Hey Oh)
go i’ve got present ya,Positive,Blinding Lights
i’ve taking dancing lessons,Positive,E1 (3x3)
would care join first dance husband wife,Positive,Symphony (feat. Zara Larsson)
well good news don’t think anyone’s looking us,Positive,Lose Yourself
okay we’ll talk something else,Positive,I Write Sins Not Tragedies
yeah that’s fine that’s fair tag,Positive,Bleed
oh hi i’m i’m mona restaurant,Positive,Buni
really well see never knew,Positive,Sugar
oh good there’ll someone likes name,Positive,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
chandler darling look date finally arrived i’d likeyou meet dennis phillips,Positive,Body (Remix) [feat. ArrDee
dennis dear old friend fantastic lover,Positive,Often
bravo dennis thanks pleasing mother,Positive,Yellow
oh yes dennis directing new broadway show,Positive,ZT (3x3)
wow i’ve admired work years youyou’ve done somereally amazing stuff,Positive,Waterloo
wow dennis phillips that’s great guys meet,Positive,Cake By The Ocean
well it’s funny story,Positive,Don't Panic
thank thank much everyone please take yourseats dinner served,Positive,Bugzy Malone
hey uh thought thought table six,Positive,Chop Suey!
great shoes giving little problem dancefloor borrow boots costume,Positive,Fivio Foreign & Darkoo]
okay fine i’m seven right surprisingly small feetbut rest good i’ll show ya,Positive,Immigrant Song - Remaster
oh y’know honey let’s talk right,Positive,New Rules
sure come big wedding,Positive,Kaer Morhen
hey y’know sometimes everything right everyone canwear everything they’re supposed wear one little guys getsthrough,Positive,Bad Liar
well ii talked uh she’s definitely going thisbaby y’know said gonna raise,Positive,Toxicity
well maybe that’s maybe that’s really brave,Positive,Charlie Brown
well got phone lover james brolin…,Positive,Symphony (feat. Zara Larsson)
yes apparently married singer said wouldleave said james,Positive,Girls / Girls / Boys
right i’lli’ll take get home,Positive,Painkiller
youyou gotta take come present,Positive,Royals
oh come it’s wedding present,Positive,Snow (Hey Oh)
umm would like dance,Positive,Smooth Criminal - 2012 Remaster
oh umm well uh maybemaybe later right i’m dancewith lady,Positive,Smooth Criminal - 2012 Remaster
yes ii fact umm hey don’t try special way youcan dance feet,Positive,ZT (3x3)
hey talk dennis yet,Positive,Blinding Lights
yes told talented told,Positive,Calm Down
uh that’s okay dance first,Positive,Not Afraid
dancing feet like girls,Positive,Fivio Foreign & Darkoo]
faster you’re going fast enough,Positive,American Idiot
uh happen catch toast,Positive,Someone In The Crowd
well i’d like think something everyone look iknow you’re casting new show…,Positive,Smooth Criminal - 2012 Remaster
it’s chinese cast chinese,Positive,Royals
hey ready get back dance floor,Positive,There's a Good Reason These Tables Are Numbered Honey
it’sit’s negative it’s positive,Positive,It's My Life
ah it’s still time,Positive,Free Bird - Edit
shh shh don’t try talk we’ll get roomwe’ll soak feet you’ll okay,Positive,Lose Yourself
mean genuinely nice guys,Positive,Politik
okay guys want play,Positive,Smooth Criminal - 2012 Remaster
ask intriguing question chandler bing,Positive,Immigrant Song - Remaster
oh god you’re getting massage never let massage,Positive,Demons
phoebe don’t get upset,Positive,Royals
oh okay okay one push one push come honey we’realmost we’re almost,Positive,Can't Feel My Face
oh joey i’m happy things worked us we’rehaving baby together love much,Positive,Señorita
hope it’s inappropriate time say butyou’re best sex ever,Positive,Hold
oh beautiful baby congratulations,Positive,Symphony (feat. Zara Larsson)
come feel come feel belly,Positive,Blinding Lights
joey baby kicking first time please come feelthis,Positive,Savage Love (Laxed - Siren Beat)
oh okay don’t let,Positive,New Rules
reason ii keep private things,Positive,Bleed
oh y’know i’ve living i’ve neverseen what’s inside closet,Positive,Play with Fire (feat. Yacht Money)
i’m curious human body,Positive,Collar Full
i’m professional i’m really good look ifyou’re uncomfortable stop give chance okay please,Positive,New Rules
okay means much you…,Positive,Pull Me Under
hey ross baby’s kicking,Positive,Blinding Lights
hey whenwhen kicking happened,Positive,Heat Waves
god baby’s kicking that’s great although i…kindawish ii would’ve feel kicking first time y’know,Positive,Kaer Morhen
nice wow phoebe good,Positive,Body (Remix) [feat. ArrDee
stating obvious thank it’s weird,Positive,Heaven and Hell - 2008 Remaster
whoa monica runs pretty tight ship,Positive,Immigrant Song - Remaster
monica secret closet won’t let see what’sin,Positive,New Rules
she’s fine she’s experiencing braxtonhicks contractionsmild discomfort caused contractions uterine wall,Positive,Lose Yourself
nono contractions unnerving don’t know theyare she’s fine,Positive,Not Afraid
calm wasn’t calm i’ve never scared mylife,Positive,Middle Of A Breakup
wait said everything gonna okay,Positive,On Top Of The World
well know i’m doctor,Positive,Toxicity
i—but everything okay i’m fine,Positive,One of the Drunks
hey uh what’s candy,Positive,Toxicity
oh gotta go back,Positive,Holy Wars...The Punishment Due - 2004 Remix
everything’s fine gotta go back…,Positive,Toxicity
oh hey don’t worry man don’t worry bigdeal,Positive,Not Afraid
easy captain kirk oh bobby pin,Positive,Party Monster
gotta tell yesterday amazing massage felt good,Positive,I Feel It Coming
umm say make weekly appointment,Positive,Blinding Lights
